engagementRate,uniqueActors,uniqueViewers,engagements,impressions,URL
0,0,80,30,60,https://www.prnewswire.com/news-releases/domo-announces-new-enterprise-advisory-board-to-leverage-global-cio-experience-for-the-benefit-of-customers-on-their-digital-transformation-journey-300732241.html
0.157894737,60,380,180,740,https://www.prnewswire.com/news-releases/eliassen-group-acquired-by-stone-point-capital-300743843.html
0.107142857,90,840,180,620,https://www.prnewswire.com/news-releases/equifax-deepens-commitment-to-consumer-identity-protection-joins-cause-to-evolve-verification-beyond-social-security-numbers-300742934.html
0.157894737,60,380,120,300,https://www.prnewswire.com/news-releases/former-us-bank-executive-bill-hoffman-joins-elicit-as-chief-growth-officer-300734719.html
0.192307692,50,260,50,260,https://www.prnewswire.com/news-releases/heidrick--struggles-takes-action-with-board-diversity-pledge-globally-300744059.html
0,0,0,30,0,https://www.prnewswire.com/news-releases/travis-bary-joins-national-hospitality-group-as-chief-operating-officer-300742836.html
0,0,100,40,80,https://www.prweb.com/releases/adam_elster_joins_optanix_board_of_directors/prweb15841905.htm
0.068181818,30,440,40,340,https://www.prweb.com/releases/consulting_magazine_names_the_2018_women_leaders_in_consulting/prweb15856011.htm
0,0,0,50,60,https://www.prweb.com/releases/invivo_analytics_announces_publication_of_research_validating_automated_data_analysis_in_preclinical_imaging/prweb15779213.htm
0.047169811,50,1060,100,800,https://www.prweb.com/releases/money_management_institute_honors_jim_tracy_as_2018_advisory_solutions_pioneer_for_his_leadership_role_in_the_investment_advisory_industry/prweb15837183.htm
0.068181818,30,440,30,540,https://www.psychologytoday.com/us/blog/the-future-brain/201810/mit-invests-record-1-billion-in-college-ai
0.15,60,400,120,380,https://www.quantamagazine.org/graduate-student-solves-quantum-verification-problem-20181008/
0.5,40,80,40,100,https://www.raymondjames.com/pointofview/dont-let-a-natural-disaster-derail-your-business?
0.073529412,50,680,100,720,https://www.reuters.com/article/us-amazon-com-jobs-automation-insight/amazon-scraps-secret-ai-recruiting-tool-that-showed-bias-against-women-idUSKCN1MK08G
1,50,40,60,60,https://www.reuters.com/article/us-usa-sec-cyber-idUSKCN1MQ2MT
0.5,30,60,60,120,https://www.reuters.com/article/us-usa-sec-cyber/sec-warns-corporate-cyber-weakness-could-violate-federal-law-idUSKCN1MQ2MT
0,0,0,30,0,https://www.revroad.com/
0,0,0,60,0,https://www.shellypalmer.com/2018/10/deepfakes-dawn-post-truth-era/
0,0,40,30,60,https://www.shrm.org/hr-today/news/hr-magazine/1118/pages/7-critical-strategies-to-prepare-for-the-future-of-hr.aspx
0,0,0,30,0,https://www.slalom.com/locations/minneapolis
0,0,0,30,0,https://www.slb.com/news/inside_news/2018/2018-10-17-world-oil-awards.aspx
0,0,180,60,200,https://www.spencerstuart.com:443/research-and-insight/ssbi-2018
0.0625,30,480,50,460,https://www.technologyreview.com/the-download/612293/mit-has-just-announced-a-1-billion-plan-to-create-a-new-college-for-ai/
0,0,0,40,0,https://www.teiss.co.uk/technology/the-expert-view-artificial-intelligence-and-the-future-of-customer-experience/
0,0,0,60,0,https://www.thebtn.tv/exclusive-content/article/making-employee-engagement-more-tick-box-shea-heaver
0,0,40,30,0,https://www.thecut.com/article/questions-to-ask-in-a-job-interview.html
0,0,40,30,60,https://www.thedrum.com/news/2018/11/06/qa-surveymonkey-chief-zander-lurie-what-the-brand-represents-and-future-plans
0.3,30,100,30,80,https://www.theedgesingapore.com/schools-enterprise-how-management-consulting-firms-produce-ceos-and-entrepreneurs
0.088235294,30,340,40,320,https://www.theverge.com/2018/10/10/17959978/microsoft-makes-its-60000-patents-open-source-to-help-linux
0.023255814,40,1720,110,1520,https://www.theverge.com/2018/5/30/17408254/microsoft-google-alphabet-market-cap-value
0,0,0,30,0,https://www.thisdaylive.com/index.php/2018/10/25/taking-advantage-of-artificial-intelligence/
